Firewall,Interface,IP Address,Netmask,Network CIDR,Type,Description,Alias
ACM-AZ-FW01,port1,10.230.19.52,255.255.255.248,10.230.19.48/29,WAN,external,outside
ACM-AZ-FW01,port2,10.230.19.4,255.255.255.248,10.230.19.0/29,LAN,internal,AllCare Data
ACM-AZ-FW01,fortilink,10.255.1.1,255.255.255.0,10.255.1.0/24,LAN,,
ACM-CSD-HSP-FW01,wan1,47.176.104.234,255.255.255.252,47.176.104.232/30,WAN,,Nitel Primary
ACM-CSD-HSP-FW01,wan2,35.131.122.26,255.255.255.252,35.131.122.24/30,WAN,,Nitel Secondary
ACM-CSD-HSP-FW01,wqt.root,10.253.255.254,255.255.240.0,10.253.240.0/20,LAN,Quarantine Soft Switch,
ACM-CSD-HSP-FW01,internal,192.168.1.99,255.255.255.0,192.168.1.0/24,LAN,,
ACM-CSD-HSP-FW01,fortilink,10.223.34.1,255.255.255.0,10.223.34.0/24,LAN,,
ACM-CSD-HSP-FW01,quarantine,10.255.11.1,255.255.255.0,10.255.11.0/24,LAN,Quarantine VLAN,quarantine.fortilink
ACM-CSD-HSP-FW01,nac_segment,10.255.13.1,255.255.255.0,10.255.13.0/24,LAN,NAC Segment VLAN,nac_segment.fortilink
ACM-CSD-HSP-FW01,AllCare Data,192.168.34.1,255.255.255.0,192.168.34.0/24,LAN,,
ACM-CSD-HSP-FW01,AllCare Voice,172.16.34.1,255.255.255.0,172.16.34.0/24,LAN,,
ACM-CSD-HSP-FW01,CSD-Guest,172.16.35.1,255.255.255.0,172.16.35.0/24,LAN,,CSD-Guest
ACM-CSD-HSP-FW01,ACMIOT,172.16.23.1,255.255.255.0,172.16.23.0/24,LAN,,ACMIOT
ACM-FPA-BF-FW01,wan1,12.221.86.154,255.255.255.248,12.221.86.152/29,WAN,,Nitel Primary
ACM-FPA-BF-FW01,wan2,173.198.109.78,255.255.255.252,173.198.109.76/30,WAN,,Spectrum Backup
ACM-FPA-BF-FW01,wqt.root,10.253.255.254,255.255.240.0,10.253.240.0/20,LAN,Quarantine Soft Switch,
ACM-FPA-BF-FW01,internal,10.1.10.1,255.255.255.0,10.1.10.0/24,LAN,,
ACM-FPA-BF-FW01,fortilink,10.223.14.1,255.255.255.0,10.223.14.0/24,LAN,,
ACM-FPA-BF-FW01,quarantine,10.255.11.1,255.255.255.0,10.255.11.0/24,LAN,Quarantine VLAN,quarantine.fortilink
ACM-FPA-BF-FW01,rspan,10.255.12.1,255.255.255.0,10.255.12.0/24,LAN,Sniffer VLAN,rspan.fortilink
ACM-FPA-BF-FW01,nac_segment,10.255.13.1,255.255.255.0,10.255.13.0/24,LAN,NAC Segment VLAN,nac_segment.fortilink
ACM-FPA-BF-FW01,AllCare Data,192.168.14.1,255.255.255.0,192.168.14.0/24,LAN,,
ACM-FPA-BF-FW01,AllCare Voice,172.16.60.1,255.255.255.0,172.16.60.0/24,LAN,,
ACM-FPA-BF-FW01,ACMIOT,172.16.23.1,255.255.255.0,172.16.23.0/24,LAN,,ACMIOT
ACM-FPA-BF-FW01,FPAWH-Guest,172.16.33.1,255.255.255.0,172.16.33.0/24,LAN,,FPAWH-Guest
ACM-FPA-BKY-FW01,wan1,12.0.178.106,255.255.255.248,12.0.178.104/29,WAN,,Nitel Primary
ACM-FPA-BKY-FW01,wan2,50.197.180.221,255.255.255.252,50.197.180.220/30,WAN,,Nitel Secondary
ACM-FPA-BKY-FW01,wqt.root,10.253.255.254,255.255.240.0,10.253.240.0/20,LAN,Quarantine Soft Switch,
ACM-FPA-BKY-FW01,internal,192.168.1.99,255.255.255.0,192.168.1.0/24,LAN,,
ACM-FPA-BKY-FW01,fortilink,10.223.25.1,255.255.255.0,10.223.25.0/24,LAN,,
