Tunnel Name,Remote Gateway IP,Remote Firewall,Remote Firewall Sys_ID,Local Networks,Remote Networks,Encryption,IKE Version,Comments
AZ1 to BF Wan1,12.221.86.154,ACM-FPA-BF-FW01,8bc0c308c3592250ad36b9ff05013189,,,aes256-sha256,2,VPN: To FPA Bakersfield
AZ1 to BF Wan2,173.198.109.78,NOT FOUND,,,,aes256-sha256,2,VPN: To FPA Bakersfield
AZ1 to BKY Wan1,12.0.178.106,ACM-FPA-BKY-FW01,87c0c308c3592250ad36b9ff0501318a,,,aes256-sha256,2,VPN: To FPA Berkley
AZ1 to BKY Wan2,50.197.180.221,NOT FOUND,,,,aes256-sha256,2,VPN: To FPA Berkley
AZ1 to ELA Wan1,12.24.255.106,ACM-FPA-ELA-FW01,83c0c308c3592250ad36b9ff0501318e,,,aes256-sha256,2,VPN: To FPA East LA
AZ1 to ELA Wan2,76.53.94.242,NOT FOUND,,,,aes256-sha256,2,VPN: To FPA East LA
AZ1 to FSO Wan1,12.159.136.82,ACM-FPA-FSO-FW01,0fc0c308c3592250ad36b9ff0501318e,,,"aes128-sha256, aes256-sha256, aes128gcm-prfsha256, aes256gcm-prfsha384, chacha20poly1305-prfsha256",2,VPN: To FPA Fresno
AZ1 to FSO Wan2,74.93.20.169,NOT FOUND,,,,"aes128-sha256, aes256-sha256, aes128gcm-prfsha256, aes256gcm-prfsha384, chacha20poly1305-prfsha256",2,VPN: To FPA Fresno
AZ1 to GLE Wan1,12.221.86.138,ACM-FPA-GLE-FW01,87c0c308c3592250ad36b9ff0501318f,,,"aes128-sha256, aes256-sha256, aes128gcm-prfsha256, aes256gcm-prfsha384, chacha20poly1305-prfsha256",2,VPN: To FPA Glendale
AZ1 to GLE Wan2,66.214.40.110,NOT FOUND,,,,"aes128-sha256, aes256-sha256, aes128gcm-prfsha256, aes256gcm-prfsha384, chacha20poly1305-prfsha256",2,VPN: To FPA Glendale
AZ1 to LAN Wan1,47.179.4.218,ACM-FPA-LAN-FW01,8bc0c308c3592250ad36b9ff05013190,,,"aes128-sha256, aes256-sha256, aes128gcm-prfsha256, aes256gcm-prfsha384, chacha20poly1305-prfsha256",2,VPN: To FPA Lancaster
AZ1 to LAN Wan2,76.53.79.42,NOT FOUND,,,,"aes128-sha256, aes256-sha256, aes128gcm-prfsha256, aes256gcm-prfsha384, chacha20poly1305-prfsha256",2,VPN: To FPA Lancaster
AZ1 to MDS Wan1,12.4.168.110,ACM-FPA-MDS-FW01,8fc0c308c3592250ad36b9ff05013191,,,"aes128-sha256, aes256-sha256, aes128gcm-prfsha256, aes256gcm-prfsha384, chacha20poly1305-prfsha256",2,VPN: To FPA Modesto
AZ1 to MDS Wan2,71.27.119.213,NOT FOUND,,,,"aes128-sha256, aes256-sha256, aes128gcm-prfsha256, aes256gcm-prfsha384, chacha20poly1305-prfsha256",2,VPN: To FPA Modesto
AZ1 to SA Wan1,12.221.126.162,ACM-FPA-SA-FW01,0fc0c308c3592250ad36b9ff05013193,,,"aes128-sha256, aes256-sha256, aes128gcm-prfsha256, aes256gcm-prfsha384, chacha20poly1305-prfsha256",2,VPN: To FPA Santa Ana
AZ1 to SA Wan2,76.53.126.230,NOT FOUND,,,,"aes128-sha256, aes256-sha256, aes128gcm-prfsha256, aes256gcm-prfsha384, chacha20poly1305-prfsha256",2,VPN: To FPA Santa Ana
AZ1 to SM Wan1,47.176.77.246,ACM-FPA-SM-FW01,cfc0c308c3592250ad36b9ff05013194,,,"aes128-sha256, aes256-sha256, aes128gcm-prfsha256, aes256gcm-prfsha384, chacha20poly1305-prfsha256",2,VPN: To FPA Santa Monica
AZ1 to SM Wan2,76.53.20.106,NOT FOUND,,,,"aes128-sha256, aes256-sha256, aes128gcm-prfsha256, aes256gcm-prfsha384, chacha20poly1305-prfsha256",2,VPN: To FPA Santa Monica
AZ1 to CP Wan1,12.17.33.2,ACM-FPA-CP-FW01,8bc0c308c3592250ad36b9ff0501318b,,,aes256-sha256,2,VPN: To FPA Canoga Park
